period,renewable_energy,energy_demand,E_toH2,E_fromH2,H_storage,H_sell,H_buy,η_toH2,η_fromH2
1,0,190.0,0.0,100.0,212.8,0.0,222.8,0.0,0.3
2,0,190.0,0.0,100.0,202.8,0.0,0.0,0.0,0.3
3,0,100.0,0.0,100.0,192.8,0.0,0.0,0.0,0.3
4,20,190.0,0.0,100.0,182.8,0.0,0.0,0.0,0.3
5,30,150.0,0.0,100.0,172.8,0.0,0.0,0.0,0.3
6,40,150.0,0.0,100.0,162.8,0.0,0.0,0.0,0.3
7,40,150.0,0.0,100.0,152.8,0.0,0.0,0.0,0.3
8,50,150.0,0.0,100.0,142.8,0.0,0.0,0.0,0.3
9,70,150.0,0.0,100.0,132.8,0.0,0.0,0.0,0.3
10,80,150.0,0.0,100.0,122.8,0.0,0.0,0.0,0.3
11,90,150.0,0.0,60.0,113.2,0.0,0.0,0.0,0.48
12,80,150.0,0.0,100.0,103.2,0.0,0.0,0.85,0.3
13,100,150.0,0.0,50.0,94.86666666666666,0.0,0.0,0.0,0.5
14,70,150.0,0.0,100.0,84.86666666666666,0.0,0.0,0.0,0.3
15,70,150.0,0.0,100.0,74.86666666666666,0.0,0.0,0.0,0.3
16,60,150.0,0.0,100.0,64.86666666666666,0.0,0.0,0.0,0.3
17,50,150.0,0.0,100.0,54.86666666666667,0.0,0.0,0.0,0.3
18,30,150.0,0.0,100.0,44.86666666666667,0.0,0.0,0.0,0.3
19,30,110.0,0.0,100.0,34.86666666666667,0.0,0.0,0.0,0.3
20,10,100.0,0.0,100.0,24.866666666666667,0.0,0.0,0.0,0.3
21,10,100.0,0.0,100.0,14.866666666666667,0.0,0.0,0.0,0.3
22,0,100.0,0.0,100.0,4.866666666666666,0.0,0.0,0.0,0.3
23,0,20.0,0.0,20.0,1.0,0.0,0.0,0.0,0.58
24,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
