period,renewable_energy,energy_demand,E_toH2,E_fromH2,H_storage,H_sell,H_buy,η_toH2,η_fromH2
1,0,190.0,0.0,20.0,98.13333333333334,0.0,100.0,0.0,0.2800000000000217
2,0,190.0,0.0,4.1830481934378145,98.0750070260392,0.0,0.0,0.0,0.04183048193437742
3,0,190.0,0.0,19.999990970673817,96.20834180406692,0.0,0.0,0.15,0.27999990970674016
4,20,190.0,0.0,20.0,94.34167513740077,0.0,0.0,0.15,0.28
5,30,150.0,0.0,50.0,86.00834065734318,1.1467254807939755e-6,0.0,0.15,0.5
6,40,150.0,0.0,50.0,77.67501051981014,0.0,0.0,0.15,0.49999980825214496
7,40,110.0,0.0,70.0,60.175010519812055,0.0,0.0,0.15,0.75
8,50,110.0,0.0,60.0,46.575010519812054,0.0,0.0,0.15,0.68
9,70,150.0,0.0,80.0,24.44167718647872,0.0,0.0,0.0,0.8300000000000171
10,80,150.0,0.0,70.0,6.94167629139658,8.950821408504339e-7,0.0,0.00019390550405828932,0.75
11,90,150.0,100.0,0.0,37.94167539631328,8.950832999232718e-7,0.0,0.93,0.1
12,80,150.0,0.0,70.0,20.441676291396607,0.0,0.0,0.0,0.75
13,100,150.0,0.0,50.0,12.108342958065236,0.0,0.0,0.15,0.5
14,70,150.0,0.0,55.55036496548992,1.0,0.0,0.0,0.0,0.599906569379003
15,70,150.0,100.0,0.0,32.0,0.0,0.0,0.93,0.1
16,60,150.0,100.0,0.0,63.0,0.0,0.0,0.93,0.1
17,50,150.0,100.0,0.0,94.0,0.0,0.0,0.93,0.1
18,30,150.0,80.0,0.0,116.66666666666667,0.0,0.0,0.85,0.1
19,30,110.0,0.0,80.0,94.53333333333333,0.0,0.0,0.0,0.8300000000004285
20,10,100.0,0.0,90.0,67.53333333333333,0.0,0.0,0.0,0.9
21,10,100.0,0.0,90.0,40.53333333333333,0.0,0.0,0.15,0.9
22,0,100.0,100.0,0.0,71.53333333333333,0.0,0.0,0.93,0.0
23,0,20.0,100.0,0.0,0.0,102.53333333333333,0.0,0.93,0.0
24,0,0.0,100.0,0.0,0.0,31.0,0.0,0.93,0.0
