period,renewable_energy,energy_demand,E_toH2,E_fromH2,H_storage,H_sell,H_buy,η_toH2,η_fromH2,inv_η_toH2,inv_η_fromH2
1,0,190.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.0,2.2222222222222223
2,0,190.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55,0.0,1.818181818181808
3,0,190.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43,0.0,2.325581395348835
4,20,190.0,0.0,0.0,0.0,0.0,0.0,0.8,0.43,1.25,2.3255813953488373
5,30,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,40,150.0,0.0,0.0,0.0,0.0,0.0,0.95,0.0,1.0526315789473684,0.0
7,40,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,50,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,70,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,80,150.0,0.0,0.0,0.0,0.0,0.0,0.8,0.3,1.25,3.3333333333333335
11,90,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,80,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,2.5
13,100,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,70,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,70,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.0,2.2222222222222223
16,60,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48,0.0,2.0833333333333335
17,50,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,2.5
18,30,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48,0.0,2.0833333333333335
19,30,60.0,0.0,0.0,0.0,0.0,0.0,0.82,0.4,1.2195121951219512,2.5
20,10,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,10,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48,0.0,2.0833333333333335
23,0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,3.3333333333333335
24,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
