period,renewable_energy,energy_demand,E_toH2,E_fromH2,H_storage,H_sell,H_buy,η_toH2,η_fromH2,inv_η_toH2,inv_η_fromH2
1,0,190.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,1.6666666666666667
2,0,190.0,0.0,0.0,0.0,0.0,0.0,0.95,0.6,1.0526315789473684,1.6666666666666667
3,0,190.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,1.6666666666666667
4,20,190.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,1.6666666666666667
5,30,150.0,0.0,100.0,89.99999900000228,0.0,100.0,0.0,0.3,0.0,3.3333333333333335
6,40,150.0,0.0,90.0,28.46398634792328,54.7860126520799,0.0,0.0,0.4,0.0,2.5
7,40,150.0,0.0,90.0,21.71398567291908,0.0,0.0,0.0,0.4,0.0,2.5
8,50,150.0,0.0,90.0,14.963985672921126,0.0,0.0,0.0,0.4,0.0,2.5
9,70,150.0,0.0,80.0,9.382589765946932,0.0,0.0,0.0,0.43,0.0,2.3255813953488365
10,80,150.0,0.0,70.0,4.715923099283145,0.0,0.0,0.0,0.45,0.0,2.2222222222222223
11,90,150.0,0.0,3.0018891388385933,4.670866929422004,0.0,0.0,0.0,0.18011334833031903,0.0,0.5003148564731085
12,80,60.0,20.0,0.0,5.2108669834241255,0.0,0.0,0.9,0.0,1.1111111111111112,0.0
13,100,150.0,0.0,44.98610230629481,2.5637518990939725,0.0,0.0,0.0,0.5100277953874116,0.0,1.9614315562022666
14,70,150.0,0.0,28.324218749996923,1.032186521362263,0.0,0.0,0.0,0.5550273437500247,0.0,1.8024212636976817
15,70,150.0,0.0,1.8730956289860659,1.0146448924857623,0.0,0.0,0.95,0.11238573773916298,1.0526315789473684,0.312182604831011
16,60,150.0,0.0,1.7114257812499913,1.0,0.0,0.0,0.95,0.10268554687499933,1.0526315789473684,0.2852376302083306
17,50,150.0,30.0,0.0,1.791999084537224,9.946626564616425e-7,0.0,0.88,0.6,1.1363636363636367,1.6666666666666667
18,30,150.0,40.89576826761605,0.0,2.83154330281885,9.94662664011159e-7,0.0,0.8473126951971611,0.58,1.18032611879893,1.7241379310344829
19,30,60.0,0.0,30.0,1.1951804974816014,0.0,0.0,0.0,0.55,0.0,1.8181818181818181
20,10,60.0,0.0,4.578872561744235,1.090352106637397,0.0,0.0,0.0,0.2747323537046575,0.0,0.7631454269573725
21,10,150.0,0.0,4.250931606217909,1.0,0.0,0.0,0.95,0.2550558963730777,1.0526315789473684,0.7084886010363217
22,0,150.0,0.0,0.0,0.0,1.0000009558732086,0.0,0.0,0.0,0.0,0.0
23,0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.58,0.0,1.7241379310344829
24,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
