period,renewable_energy,energy_demand,E_toH2,E_fromH2,H_storage,H_sell,H_buy,η_toH2,η_fromH2
1,0,190.0,10.0,0.0,0.0,3.1666666666666665,0.0,0.95,0.6
2,0,190.0,10.0,0.0,0.0,3.1666666666666665,0.0,0.95,0.0
3,0,190.0,10.0,0.0,2.8,0.36666666666666664,0.0,0.95,0.0
4,20,100.0,70.0,0.0,21.0,0.0,0.0,0.7799999999999998,0.0
5,30,150.0,0.0,100.0,11.0,0.0,0.0,0.95,0.3
6,40,150.0,0.0,100.0,1.0,0.0,0.0,0.0,0.3
7,40,150.0,0.0,100.0,91.0,0.0,100.0,0.95,0.3
8,50,150.0,0.0,100.0,27.466666666666665,53.53333333333333,0.0,0.9,0.3
9,70,150.0,0.0,100.0,17.466666666666665,0.0,0.0,0.0,0.3
10,80,150.0,0.0,100.0,7.466666666666667,0.0,0.0,0.95,0.3
11,90,150.0,100.0,0.0,30.8,0.0,0.0,0.7,0.0
12,80,150.0,0.0,100.0,20.8,0.0,0.0,0.9,0.3
13,100,150.0,0.0,50.0,12.466666666666667,0.0,0.0,0.95,0.5
14,70,150.0,0.0,80.0,1.0,0.0,0.0,0.9498412963581642,0.4299999999999998
15,70,150.0,58.60376619104911,0.0,0.0,16.682221689976718,0.0,0.8027924676179017,0.6
16,60,150.0,58.64160156240374,0.0,0.0,15.690866297381985,0.0,0.8027167968751926,0.0
17,50,150.0,58.641601562435994,0.0,12.8,2.890866297401333,0.0,0.802716796875128,0.6
18,30,150.0,70.0,0.0,31.0,0.0,0.0,0.78,0.6
19,30,110.0,0.0,100.0,21.0,0.0,0.0,0.9,0.3
20,10,100.0,0.0,100.0,11.0,0.0,0.0,0.0,0.3
21,10,100.0,0.0,100.0,1.0,0.0,0.0,0.0,0.3
22,0,100.0,58.62251725765251,0.0,0.0,16.686506173337378,0.0,0.802754965484695,0.0
23,0,20.0,58.630457436221185,0.0,0.0,15.688319920987468,0.0,0.8027390851275576,0.45
24,0,0.0,58.641638599839,0.0,0.0,15.690875074197605,0.0,0.8027167228003221,0.0
