period,renewable_energy,energy_demand,E_toH2,E_fromH2,H_storage,H_sell,H_buy,η_toH2,η_fromH2
1,0,190.0,10.0,0.0,0.0,3.1666666666666665,0.0,0.95,0.43
2,0,190.0,10.0,0.0,2.2,0.9666666666666667,0.0,0.95,0.45
3,0,190.0,0.0,0.0,2.2,0.0,0.0,0.0,0.0
4,20,190.0,29.999999705227083,0.0,11.0,0.0,0.0,0.8800000005895459,0.58
5,30,150.0,0.0,100.0,1.0,0.0,0.0,0.85,0.3
6,40,150.0,80.0,0.0,21.0,5.663306943404223e-7,0.0,0.75,0.4
7,40,150.0,0.0,100.0,11.0,0.0,0.0,0.75,0.3
8,50,150.0,0.0,100.0,1.0,0.0,0.0,0.85,0.3
9,70,60.0,10.0,0.0,0.0,4.166666666666667,0.0,0.95,0.4
10,80,60.0,20.0,0.0,0.02933239029294299,5.97066773995031,0.0,0.9,0.0
11,90,150.0,76.00000262366177,0.0,19.333333333333332,0.0,0.0,0.7619999921290148,0.45
12,80,150.0,0.0,100.0,9.333333333333334,0.0,0.0,0.7,0.3
13,100,150.0,0.0,50.0,1.0,0.0,0.0,0.0,0.5
14,70,150.0,0.0,0.0,0.0,1.0,0.0,0.95,0.0
15,70,150.0,47.99999486843951,0.0,0.0,13.215999169950372,0.0,0.8260000153946815,0.0
16,60,150.0,58.99997670876477,0.0,0.0,15.772661677209845,0.0,0.8020000465824705,0.52
17,50,150.0,59.00000096013166,0.0,1.0,14.772667731698416,0.0,0.8019999980797368,0.0
18,30,150.0,80.0,0.0,21.0,0.0,0.0,0.75,0.0
19,30,150.0,0.0,100.0,11.0,0.0,0.0,0.0,0.3
20,10,150.0,0.0,100.0,1.0,0.0,0.0,0.95,0.3
21,10,60.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
22,0,150.0,47.990554522617096,0.0,0.0,13.213852638924573,0.0,0.8260283364321486,0.6
23,0,30.0,59.000003310679645,0.0,0.0,15.772667672358667,0.0,0.8019999933786408,0.58
24,0,0.0,58.641638599839,0.0,0.0,15.690875074197605,0.0,0.8027167228003221,0.0
